job,link,post date,employment type,description,responsibilities,qualifications
Software-Engineer-2,https://careers.microsoft.com/us/en/job/1008501/Software-Engineer-2,"Mar 15, 2021",Full-Time,"The Microsoft map and geospatial team is one of the very few teams in the whole world that has the complete world wide geospatial data, and has the expertise on modeling, descripting, calculating and rendering the whole world. Our products include Azure Map, Bing Map and Windows Map app on both Windows and mobile platforms. You will have the rare opportunity to get in touch with the really “big” data for the whole world, and modify/transfer/summarize and search inside them to generate very useful mapping/routing/traffic/direction and local search features to help our customers in their daily life.","- Ingest and process the map data from various sources to conform with Microsoft ontology, and process them into various downstream systems
- Be able to change, update, deploy and maintain the various sub-systems for Bing Map, Windows Map and Azure Map systems to keep our services alive and running better everyday
- Some of our team members are working on improving the local search experience including building state-of-art language models to categorize and understand the user queries and then generate the most relevant results to them in multiple languages
- Other part of our team members are working on the map mobile SDK for Windows, Android and iOS platforms, to render, search and navigate on those native platforms
- Remaining duties for the team includes owning and driving the improvement on all the map/local search sub-systems, including but not limit to map tile rendering, geocoding/reverse-geocoding, routing, traffic, turn-by-turn navigation, etc.","- Experienced in using at least two of the following languages: C++/C#/Java/ObjectC/Swift/Python/SQL
- Strong coding and problem-solving skills
- BS in Computer Science or Engineer or equivalent industry experience

Experience with at least one the following areas is a big plus:
- Good understanding of relational data and using the sql language to do the CRUD operations
- Mobile platform development experience on either Android or iOS with Java/ObjectC/Swift
- Industrial expertise on search engine, including knowledge on word breaker, LU, relevance, ranking, modeling, etc
- Good knowledge on the setup, deploy, monitoring and debugging huge online systems across multiple DCs
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. 
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Senior-SDE-Dev-Lead-MSNIA,https://careers.microsoft.com/us/en/job/965365/Senior-SDE-Dev-Lead-MSNIA,"Jan 15, 2021",Full-Time,"Title: Senior dev/lead for MSNIA
 MSN Access team is responsible for maximizing the profitability of the MSN Dial-Up and MSN Premium business by maximizing customer retention, maintaining the core value proposition of the products over time, and sustained engineering to provide user secure and reliable internet access, mail, and browsing experiences. We are a team full of high caliber, talented, passionate developers from different regions around world. By leveraging modern client and font-end development techniques, we are working on a fast-cycle to delight our users, and meanwhile optimize engagement, revenue and retention for our product like MSN explorer.
 Now we are looking for a strong developer to join our fun and challenging journey. As a member of the MSN Access team, you'll have the opportunity to shape the design of MSN products, and have a direct impact on various products that millions of users use every day. You will learn and research many cutting edge methods in modern web techniques, client development. You will have enormous resources of Microsoft at your disposal and close collaborations with great teams and colleagues in world-wide. At the same time, you have the right environment and strong support to drive your favorite features to solution. We are an extremely agile team, and we move very fast from ideas to experimentation, development and deployment through continuous releases throughout the year.","Implement MSN explorer client (including Chromium based web browser implementation, compatibility with Windows OS release, security updates etc.) and release thoughtful features.
Improve MSN internet access core services, web sites and partner interfaces.
Closely work with Devs and PMs in different countries to achieve fast collaboration and agile development.","We are looking for cream of the crop - motivated engineers with excellent architecture, design, coding, and debugging skills.
B.S. in Computer Science or related required.
Solid coding skill and familiar with at least one language: C++, HTML+JS.
Great design, problem solving, and data analysis skills, with demonstrated passion for quality, performance, and engineering excellence.
At least 1 year of industry experiences in Windows client application or Chromium based web browser developing is preferred.
Also willing to do modeling related works and base in Beijing is preferred.
Motivated and able to work independently as well in a collaborative team setting to research innovative solutions to challenging technical/business problems.
  Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. 
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Development-Engineer-2-NLP-Group,https://careers.microsoft.com/us/en/job/1007745/Software-Development-Engineer-2-NLP-Group,"Mar 11, 2021",Full-Time,"Microsoft Software Technology Center at Asia (STCA) aims to the best user experience for Web Search, Advertisement, Cloud, and Enterprise services. The Natural Language Processing (NLP) Group in STCA has more than 100 scientists and engineers, working on various NLP techniques and applications. 
 Work Directions
 Develop novel NLP techniques for various Microsoft products, including Bing, Feeds, Cortana, XiaoICE, Enterprise Search, et al.
 Build up the world-class AI systems with novel NLP techniques and engineering excellence.
 Collaborate with partner production teams to explore cutting-edge NLP technology and deliver production impact."," Address challenges in products through Deep Learning and Reinforcement Learning approaches and transfer novel ideas to production applications.
 Build the word-class AI systems through close team collaborations to power various production scenarios, including Search, QA, Feeds, and Dialogues, etc.
 Track state-of-the-arts techniques and explore how to transfer them to production for business impact."," Ph.D. or Master degree in Computer Science, Statistics or related areas
 Proficient in at least one common programming language, such as Python/C++/Java
 Priority will be given to candidates meet any of the following conditions:
- Good basics on NLP related areas, especially Recommendation, Search, QA, MRC, Knowledge graph, Dialogue, et al.
- Good basics on machine learning, especially deep learning technologies.
- Strong publication records on top conferences or journals.
- Strong passion in NLP area with great learning and teamwork spirit.
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
DFX-Engineer-II-Design-for-Repair,https://careers.microsoft.com/us/en/job/1000008/DFX-Engineer-II-Design-for-Repair,"Mar 12, 2021",Full-Time,"Are you able to grasp complex system level issues and enjoy diving deeply into the analysis of specific engineering challenges? Do you enjoy working across disciplines, applying your engineering knowledge to understand and resolve design, sustainability, and manufacturing issues with a diverse engineering and business team? Do you thrive in a fast-paced, collaborative environment? If so, we would like you to join our team as we continue our successful launches of exciting next generation Microsoft hardware.
 The Microsoft New Product Introduction (NPI) group is looking for a passionate & team-oriented engineer to join us in shaping the future of devices.
 You will be part of the Design for Repair (DFR) team within NPI. Our team is focused on development of design & manufacturing solutions to enable repair of Microsoft products through close collaboration with hardware development and manufacturing teams early in the development cycle. This spans across mechanical design, materials, processes, and equipment affecting the product at system, sub-systems, and component levels. We drive our solutions through ideation, qualification, and implementation utilizing engineering proof of concepts, design of experiments, engineering & qualification builds, and ultimately mass production validation. As our products ramp into mass production, we own implementation of production repair, and identification and resolution of top repair & material scrap issues to meet product launch quality, continuity of supply, and cost metrics.","As a Mechanical Engineer 2 (DFR), you will apply mechanical design expertise utilizing your manufacturing experience in both assembly and disassembly of hardware products. You are knowledgeable in technology, materials, and processes used in mechanical design and fabrication.
You have experience in hardware development and are cognizant of critical attributes required to characterize and qualify designs & processes at the System and Sub-System level.
Up to 25% international travel is required to accomplish critical objectives and guide contract manufacturing activities.
Those who are relentlessly curious, excellent communicators, and driven to continuously improve upon previous successes will excel within our team.","Bachelor of Science in Mechanical Engineering or related engineering discipline
4+ years in an engineering role, directly contributing to the design or manufacture of products
Preferred additional Qualifications and Capabilities:
Experience with high volume consumer electronics desired
Understands PC or other consumer electronics mechanical and electro-mechanical interactions (enclosures, displays, thermal solutions, cables/FPCs, connectors, etc.)
Demonstrated proficiency of Six Sigma toolkit including statistical analysis, DOE, RCA, and DFX
Know-how with mechanical tolerance analysis and common engineering mechanical CAD tools, preferably Creo (SolidWorks, Creo, Pro/Engineer, or equivalent)
Experience with fixture & equipment development, metal forming & CNC, injection molding, adhesives, and complex mechanisms
Collaborates effectively within a cross-functional team to meet schedule, cost, and performance-related objectives
Self-manages daily and long-term activities, prioritizing activities and reviewing deliverables of a small engineering team
Communication skills are essential - must express technical concepts in verbal and written forms to peers and management
  Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
2022-Graduates-Summer-Intern-Software-Engineer-Intern-MMD-Suzhou,https://careers.microsoft.com/us/en/job/983281/2022-Graduates-Summer-Intern-Software-Engineer-Intern-MMD-Suzhou,"Feb 8, 2021",Internship,"Has it been your dream to be a part of startup? Do you want to change the way millions of enterprise devices are managed around the world? Do you think it's impossible to be doing both at the same time? Welcome to the world of Microsoft Managed Desktop (MMD)!
Microsoft’s vision of the Modern Workplace focuses on a complete, intelligent solution that empowers everyone to be creative and work together, securely. Microsoft Managed Desktop is a strategic, new offering that is built on top of Microsoft 365 with our Windows, Office 365, Cloud management and Security capabilities. At its core, MMD helps generate an environment for creative and collaborative work, leverages modern always up to date devices, attracts and retains generational talent that will help IT focus on their overall digital transformation, and will allow organizations to stay current in a more simplistic and scalable manner. It has never been a more exciting time for us to start this initiative!","As an Engineer in the MMD team, you will get an amazing opportunity to extend your knowledge of several important Microsoft products and technical areas including Windows, Office and our cloud-based management suite, and drive product improvements into Microsoft 365.
In this role, you will be part of a team of talented and motivated engineers that will behave more like a startup team. You will do what is necessary with your peers to plan, design, implement and deliver the feature requirements with high quality.","Basic Qualifications:
Bachelor’s degree in Computer Science, Engineering, Math, Science, or another technical field
Good learning ability
Good compute science knowledge
Good coding, debugging and problem-solving skills.
Good knowledge of object-oriented programming language paradigms
Good English communication skill
 Preferred Qualifications:
Ambitious, self-motivated
Agile, can-do attitude"
Senior-Software-Engineer-NLP,https://careers.microsoft.com/us/en/job/1007748/Senior-Software-Engineer-NLP,"Mar 11, 2021",Full-Time,"Microsoft Software Technology Center at Asia (STCA) aims to the best user experience for Web Search, Advertisement, Cloud, and Enterprise services. The Natural Language Processing (NLP) Group in STCA has more than 100 scientists and engineers, working on various NLP techniques and applications. 
 Work Directions
 Develop novel NLP techniques for various Microsoft products, including Bing, Feeds, Cortana, XiaoICE, Enterprise Search, et al.
 Build up the world-class AI systems with novel NLP techniques and engineering excellence.
 Collaborate with partner production teams to explore cutting-edge NLP technology and deliver production impact."," Address challenges in products through Deep Learning and Reinforcement Learning approaches and transfer novel ideas to production applications.
 Build the word-class AI systems through close team collaborations to power various production scenarios, including Recommendation, Search, QA, and Dialogues, etc.
 Track state-of-the-arts techniques and explore how to transfer them to production for business impact."," Ph.D. or Master degree in Computer Science, Statistics or related areas
 Proficient in at least one common programming language, such as Python/C++/Java
 Priority will be given to candidates meet any of the following conditions:
- Good basics on NLP related areas, especially Recommendation, Search, QA, MRC, Knowledge graph, Dialogue, et al.
- Good basics on machine learning, especially deep learning technologies.
- Strong publication records on top conferences or journals.
- Strong passion in NLP area with great learning and teamwork spirit.
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Engineer-II-M365-Outlook-Service,https://careers.microsoft.com/us/en/job/999097/Software-Engineer-II-M365-Outlook-Service,"Mar 12, 2021",Full-Time,"Are you fascinated with finding new ways for millions of users to connect, communicate, and get more done? Are you obsessed with creating products that are simple, useful, and delightful? So are we.
 Outlook was built to help people be productive through communication and collaboration. Email and calendar are the cornerstone of getting things done in your own life or when working with others. The Outlook Hx Platform team builds the shared core client and service components powering multiple Outlook experiences – iOS, Android, Mac, and the built-in Windows 10 Mail and Calendar apps. We’re at the center of Microsoft’s presence on mobile, and for our users Outlook is a key part of their daily lives.
 The Hx Service team owns the cloud services that allow us to innovate quickly and reliably in these apps. We’re looking for a senior software engineer to write scalable, maintainable, efficient service code to run on tens of thousands of servers supporting millions of customers every day.","Your responsibilities will include designing and implementing new server-side features for the Outlook family of apps to deliver experiences customers will love. Work on and integrate with microservices in the wider Exchange Online and Office365 ecosystem. Write well-factored, well-tested code, and the monitoring systems to ensure it functions well in production. Use telemetry to discover bugs, customer pain points, and other opportunities for improvement to make our users’ lives a little better every day. Work closely with engineers up and down the stack to deliver seamless experiences at a massive scale.","BS in Computer Science, related degree, or equivalent experience
5+ years OOP development experience (C# is a plus)
Strong customer focus
Excellent project management and communication skills
Excellent cross-team collaboration skills
Strongly preferred: experience designing scalable, responsive, multi-threaded backend services
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Development-Engineer,https://careers.microsoft.com/us/en/job/1006795/Software-Development-Engineer,"Mar 11, 2021",Full-Time," SharePoint Engineering Foundation
 Do you love improving developer productivity? Do you love watching engineering videos from Microsoft, Google, Facebook, and Netflix? Want to help modernize the tools and tech that will enable developers to build in seconds, and deploy in minutes?
 The OneDrive & SharePoint Engineering Fundamentals team is looking for a highly experienced software engineer who is passionate about enabling hundreds of OneDrive & SharePoint engineers to do their best work.","About our Product: OneDrive and SharePoint are highly popular file storage services for consumers and businesses, respectively. Our service is a huge and fast-growing business with a passionate customer base, large developer ecosystem, and extensive partnerships across Microsoft 365. The team is revolutionizing cloud storage, team collaboration, and information sharing for consumers and enterprises. We are a quality focused team that ships innovation daily and uses data driven decision making to run a trustworthy, massively scalable service that delights customers.
 About the Position: We are looking for a highly experienced and curious engineer who is not afraid of a big challenge or to try new things. The ideal candidate has a passion and a track record of improving engineering processes and systems for large codebases. We have a wide range of interesting and challenging problems to solve, including build optimization, dependency and package management, continuous integration and deployment, compliance, test suite coverage, and creating intelligent agents for analyzing quality and performance. We are looking for a SDE / SDE II Software Engineer who is excited about solving these tough problems and working across the company to learn from and contribute to best practices.
 About Us: We have a clear vision: to be the place where a diverse mix of talented people want to come, to stay and do their best work. Diversity is more than a commitment for us- it is the foundation of what we do. We are fully focused on equality and believe deeply in diversity of race, gender, sexual orientation, religion, ethnicity, national origin and all the other fascinating characteristics that make us different.","2+ years of programming expertise in one or a combination of C++, C#, Java
 2+ years of development experience on a large codebase, shipping multiple commercial products or internet-scale cloud services
 Excellent hands-on design, coding and debugging skills
 BS/MS in Computer Science or a related technical field is preferred but not required
 Desire to operate in an agile development environment
 Experience with engineering systems such as testing platforms or continuous integration systems are a plus
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Engineer-MMD,https://careers.microsoft.com/us/en/job/1006773/Software-Engineer-MMD,"Mar 11, 2021",Full-Time,"Has it been your dream to be a part of startup? Do you want to change the way millions of enterprise devices are managed around the world? Do you think it's impossible to be doing both at the same time? Welcome to the world of Microsoft Managed Desktop (MMD)! 
 Microsoft’s vision of the Modern Workplace focuses on a complete, intelligent solution that empowers everyone to be creative and work together, securely. Microsoft Managed Desktop is a strategic, new offering that is built on top of Microsoft 365 with our Windows, Office 365, Cloud management and Security capabilities. At its core, MMD helps generate an environment for creative and collaborative work, leverages modern always up to date devices, attracts and retains generational talent that will help IT focus on their overall digital transformation, and will allow organizations to stay current in a more simplistic and scalable manner. It has never been a more exciting time for us to start this initiative!  
 ","As an Engineer in the MMD team, you will get an amazing opportunity to extend your knowledge of several important Microsoft products and technical areas including Windows, Office and our cloud based management suite, and drive product improvements into Microsoft 365. 
 In this role, you will be part of a team of talented and motivated engineers that will behave more like a startup team. You will do what is necessary with your peers to plan, design, implement and deliver the feature requirements with high quality. ","Basic Qualifications:  
Bachelor’s degree in Computer Science, Engineering, Math, Science or other technical field  
2+ years of software engineering experience building and shipping apps and/or services. 
Good learning ability 
Good technical design and implementation skills and proven ability to deliver feature in commercial projects or products 
Good English communication skill 
 Preferred Qualifications:  
Ambitious, self-motivated 
Agile, can-do attitude and great at dealing with ambiguity  
Good coding, debugging and problem-solving skills 
Good knowledge of object-oriented programming language paradigms 
Experience in developing online services 
Experience in relational databases, distributed systems and/or big data technologies 
Experience in Virtualization, VDI, or remote management solution 
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Development-Engineer-2-SharePoint-Server,https://careers.microsoft.com/us/en/job/1006802/Software-Development-Engineer-2-SharePoint-Server,"Mar 11, 2021",Full-Time,"SharePoint Server Team
 The SharePoint Server team delivers a very popular platform that customers use to collaborate and solve complex business problems. Our hundreds of millions of customers, have complex compliance and/or feature needs that only we can meet. We are looking for great engineers who love creating and building things that delight and protect our customers. You will be working with a team of amazing engineers, PMs, and designers, and work closely with other teams across Microsoft to deliver large-scale, distributed architectures, and features to meet our customer’s needs. You would be a part of a team that is fundamentally changing the way that millions of people use their devices and interact with the most important content for their home, work, and school.","You will work on large-scale distributed systems that are critical for customers around the world. You will design and deliver services that manage internet-scale data stores, enable best-in-the-world file and site browsing and editing performance, or add innovative features to how people manage and interact with their data. Given the scope of SharePoint Server, we have positions that range from the very front-end of how a customer interacts with our services, through core system logic, to mega-scale storage, to the platform that engineers around the world use to build and maintain them. Everything you do will be supported by a world-class engineering team.
 As an engineer in our team, you will contribute to and help shape the vibrant, inclusive engineering culture of OneDrive & SharePoint. You will be expected to do deep, data-driven, collaborative design for additions and changes to our products. You will write clean, efficient code and comprehensive tests. And you will deliver features that will be used by hundreds of millions of customers around the world.","Required Qualifications  
     1. 2+ years of industry programming, software development, and/or software engineering experience.  
     2. BS or MS in Computer Science or related discipline or equivalent  
     3. Experience collaborating with peers and partner teams to meet joint engineering goals 
     4. Strong coding, debugging, algorithm design, and problem-solving skills.  
     5. Experience with cloud-scale services and server/service management features.  
     6. Able to learn new systems quickly and adapt new methodologies to our services 
 Preferred Qualifications 
     1. Experience with building cloud-scale infrastructure components. 
     2. Awareness, passion, and experience related to distributed design and patterns. 
     3. Familiarity with secure software design concepts. 
     4. Proven track record of delivering projects that include multiple components.    
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Software-Development-Engineer-2,https://careers.microsoft.com/us/en/job/980764/Software-Development-Engineer-2,"Feb 5, 2021",Full-Time,"Are you interested in being part of a team with close to $10B in revenue and rapid growth? Are you looking for joining a fun and fast paced environment, where people are empowered to innovate? Are you excited about cutting-edge technologies? Based in the Web Experiences Team (WebXT), we are building a large scale payment service that powers commerce for WebXT’s key businesses like Bing, Content Feed, Edge.  We are hiring experienced Software Engineer to help us deliver services and experiences for empowering WebXT’s developer and partner ecosystem to be successful. You will be responsible for building mission critical scalable services to integrate with downstream systems, fluent user experience to manage end to end product life-cycle. The technologies are amazing and the team is fast growing, it is the perfect time to join!","As one of the key developers in WebXT payment team, you will own the experience and component from design to production, including partnerships with PM and US peers to design great experiences, implement, test, deploy, stabilize, and monitor features in a fast paced development environment. You will have international exposure and see your work being used by people around the globe. You will work on the infrastructure to build and manage service at global scale. You will work with a highly motivated team solving large problems and have huge and immediate business impact, and incredible opportunities to learn and grow.","· Real-world experience developing large scale online services with robust performance, resiliency, telemetry and security. · 3+ years of experience on design patterns · 3+ years of experience with any cloud platform (Azure, AWS) or any equivalent · 5+ years of software engineering experience using leveraging C# and Web Services. · BS/MS Degree in CS or related engineering field is preferred Experience in payment area is a big plus
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Principal-Software-Engineering-Manager-Microsoft-Edge,https://careers.microsoft.com/us/en/job/980774/Principal-Software-Engineering-Manager-Microsoft-Edge,"Feb 4, 2021",Full-Time,"Hate Auth prompts? Come fix them! The Microsoft Edge Identity Team is focused on enabling seamless identity powered experiences. By integrating identity holistically into Edge, the team allows for numerous scenarios to be enhanced by user identity while preventing a proliferation of authorization prompts and focusing on Single Sign On (SSO). Because Microsoft Edge works across platforms, you’ll have the chance to find scalable ways to make this work on all of these platforms. You will expose identity to users in an intuitive manner.","You will work on enabling fluid identity scenarios that run across multiple platforms, from Windows to MacOS to Mobile to Linux! You’ll get a chance to measure the real-world impact of these changes by seeing how often users needlessly are prompted for credentials, and help define and implement protocols that eliminate that need. You’ll work in a variety of codebases to solve this problem, and have a chance to work with numerous partner teams to solve these problems. It’s a chance to work on a modern codebase with a fast iteration loop. You will get a chance to work in a number of languages, but a lot of the code is portable C++. As engineering manager for this team, you are responsible for building a healthy team by helping set your team’s culture, providing coaching and mentoring, and helping your team’s capability grow. You will help keep your projects on track, ensuring that your backlog is groomed and up to date. You’ll help ensure that features are implemented with the highest standards, represent your team in various planning forums, and help coordinate your team’s dependencies.","Preferred qualifications:
• Comfort in picking up new languages and tools as needed
• Demonstrated productivity and effectiveness in large codebases and/or open-source software (Chromium esp.).
• Direct management experience.
• Strong technical capability, especially strength in design\code review
• Interest in web authentication stacks and protocols (e.g. OAuth).
• Familiarity working in an agile environment, attending/running daily standup.
• Familiarity with planning tools such as ADO is helpful.
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.  We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
Site-Reliability-Engineer-M365,https://careers.microsoft.com/us/en/job/1013453/Site-Reliability-Engineer-M365,"Mar 21, 2021",Full-Time,"This is a once in a lifetime opportunity - we as a company are transforming ourselves and the industry by leading software and services. The M365 team and Exchange is central to this (positive) disruption and now you have the chance to be a part of it. We are growing rapidly and are doubling the number of users every six months. We are expanding in both global presence and customer satisfaction in the cloud, from a handful of servers to hundreds of thousands of servers running the most compelling suite of communication and collaboration features ever built - Microsoft 365.
The M365 Enterprise Commercial Cloud team needs the best and brightest to help take our service to the next level, to deliver the thousands of new machines monthly for M365 service, as well as maintain their hardware health and security. Our team has a great mix of talent and we are looking to add to it, so we can continue to improve the velocity and throughput of our capacity pipeline. We are a diverse team and pride ourselves with a strong DevOps culture, the breadth and depth on the problems we solve with state of the art technologies, and agility.","Candidates should have strong analytical, design, and development skills and a willingness to embrace the DevOps culture and take end to end ownership of the service. Responsibilities include design and development of core capacity infrastructure. Experience with hardware, Windows OS, networking is a definite plus; experience in mid-tier development, web services, networking and/or database development are also a plus.
• Working in the Microsoft productivity suite where you enable millions of users to have instant access to their mail, calendar, contacts, tasks, notes on their smart phones
• Operation work in resolving incidents, either that have been raised through our monitoring systems or customer escalated
• Working with some of the brightest minds from various teams, including the Office 365 software developers
• Working on scripts to aid in faster resolution time
• More importantly preventing incidents from happening again
• Driving across the feature teams to get issues solved, including coding
• Being DevOps and working with services spanning many servers, doing tens of billions of transactions and serving hundreds of millions of users","Qualifications:
• BA/BS Degree in Computer Science or related major.
• Strong coding skills in C#; knowledge of scripting languages like PowerShell a plus. 
• 3+ years of software development experience in designing and building highly scalable online services.
• Strong analytical, design, and development skills and a willingness to embrace the DevOps culture and take end to end ownership of the service.
• Excellent communication skills in English is a must.
• Learns new areas quickly, loves to take on big challenges, and is unfazed by ambiguity.
• Engineers who love problem solving, and think out of the box
• Strong analysis, debugging and problem solving skills
• Who are extremely passionate to learn and grow their technical and coding skills
• Someone who is a team player, and enjoys collaborating with smart engineers
• Who takes customer satisfaction seriously, and takes whatever necessary action to attain it
• Someone who is relentless when it comes to getting the problem solved either themselves or knowing to engage whomever is required to solve the problem
 Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings:
Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud background check upon hire/transfer and every two years thereafter.
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity or expression, religion, national origin or ancestry, age, disability, marital status, pregnancy, protected veteran status, protected genetic information, political affiliation, or any other characteristics protected by local laws, regulations, or ordinances.
 Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. 
 Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
